TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
3,CUST2412,ACC80131,Loan,Withdrawal,Personal Loan,Firm C,West,Manager 3,6/8/2023,33759.69057,126486.4083,0.225823659,611,89
32,CUST1467,ACC74631,Current,Withdrawal,Home Loan,Firm D,North,Manager 2,8/11/2023,69319.19933,24834.76291,0.335717434,817,174
9,CUST2699,ACC39482,Loan,Withdrawal,Credit Card,Firm D,West,Manager 4,15-05-2024,42831.48483,123007.4353,0.572452967,332,31
42,CUST9535,ACC82947,Current,Withdrawal,Home Loan,Firm A,South,Manager 4,30-04-2023,70903.79697,73073.64225,0.57199349,626,92
166,CUST7459,ACC39500,Credit,Payment,Home Loan,Firm D,South,Manager 4,16-02-2023,21948.97355,113405.3282,0.380675227,411,13
53,CUST1749,ACC24880,Credit,Withdrawal,Savings Account,Firm C,Central,Manager 3,15-05-2024,61034.46765,35846.56353,0.389493099,476,68
27,CUST2427,ACC35163,Credit,Deposit,Mutual Fund,Firm B,Central,Manager 1,23-04-2023,56259.32447,102834.1717,0.438508736,332,69
102,CUST5320,ACC26940,Credit,Withdrawal,Savings Account,Firm A,Central,Manager 2,6/3/2023,53795.85329,48381.41369,0.368910408,498,81
83,CUST5574,ACC29007,Current,Withdrawal,Savings Account,Firm A,East,Manager 1,24-05-2024,80884.33957,77522.67167,0.618700039,645,184
158,CUST3041,ACC81631,Current,Withdrawal,Personal Loan,Firm A,East,Manager 2,10/9/2023,105066.722,122057.4617,1.133564864,510,28
19,CUST6776,ACC71426,Savings,Payment,Savings Account,Firm C,South,Manager 1,5/2/2024,38215.2402,98943.63549,0.528519591,423,157
44,CUST8155,ACC83269,Loan,Withdrawal,Mutual Fund,Firm A,East,Manager 4,14-04-2023,62666.16739,54430.48674,0.627388942,388,209
55,CUST6038,ACC83269,Loan,Withdrawal,Savings Account,Firm C,North,Manager 2,5/2/2024,43845.86062,65073.92948,0.77549717,547,116
120,CUST4461,ACC21429,Credit,Deposit,Credit Card,Firm E,South,Manager 3,5/3/2024,55367.52407,62321.81447,0.852430725,578,112
89,CUST3602,ACC25132,Savings,Deposit,Personal Loan,Firm C,Central,Manager 2,18-03-2023,57908.33009,125378.9661,0.292767904,445,70
177,CUST4461,ACC62446,Loan,Payment,Credit Card,Firm A,Central,Manager 3,1/7/2023,20145.08665,32040.72632,1.047338491,317,123
54,CUST5574,ACC77773,Current,Payment,Savings Account,Firm E,Central,Manager 1,25-07-2023,48759.097,56796.94466,0.578380384,695,221
44,CUST2018,ACC24070,Savings,Withdrawal,Credit Card,Firm A,East,Manager 2,26-10-2023,75840.86116,107650.8921,0.273062513,386,15
49,CUST6735,ACC28305,Loan,Withdrawal,Savings Account,Firm C,West,Manager 1,26-03-2023,-739.3925648,51949.38325,0.385803255,645,16
90,CUST6549,ACC95164,Current,Payment,Home Loan,Firm E,South,Manager 3,1/4/2024,31539.43469,57976.91541,0.400760107,463,96
117,CUST4126,ACC32627,Savings,Transfer,Mutual Fund,Firm E,East,Manager 2,5/7/2023,27384.52171,59172.73309,0.597466564,658,76
17,CUST8416,ACC49422,Loan,Transfer,Savings Account,Firm B,South,Manager 1,8/1/2023,9816.891316,62410.53689,0.337920178,699,22
144,CUST7098,ACC24070,Credit,Transfer,Personal Loan,Firm A,Central,Manager 1,22-10-2023,60326.25528,50991.81727,0.628900621,606,97
111,CUST1467,ACC81631,Savings,Deposit,Savings Account,Firm B,South,Manager 2,17-01-2024,70661.59074,17430.91572,0.39046713,519,203
182,CUST2694,ACC18057,Credit,Deposit,Mutual Fund,Firm B,South,Manager 1,4/5/2023,90849.07865,76082.18895,0.305074301,755,229
167,CUST1189,ACC64022,Savings,Withdrawal,Personal Loan,Firm A,East,Manager 3,6/7/2023,32216.39694,96429.52405,1.027816719,804,43
170,CUST7994,ACC82298,Current,Deposit,Home Loan,Firm E,Central,Manager 4,6/11/2023,50272.62288,72393.22688,0.502416931,458,216
183,CUST2541,ACC77533,Loan,Transfer,Personal Loan,Firm A,North,Manager 4,21-05-2023,80286.10029,56498.5813,0.87881719,821,231
25,CUST6549,ACC92360,Credit,Transfer,Personal Loan,Firm A,East,Manager 4,14-02-2023,19684.70635,50632.49723,0.229683979,795,153
110,CUST4438,ACC22255,Loan,Payment,Credit Card,Firm B,West,Manager 3,9/1/2023,85808.8888,50165.33304,0.294886506,541,148
88,CUST6837,ACC55729,Credit,Deposit,Credit Card,Firm C,North,Manager 2,23-10-2023,47653.86702,73822.21642,-0.138931443,823,6
6,CUST1547,ACC53466,Current,Deposit,Personal Loan,Firm D,Central,Manager 2,21-02-2023,61624.22968,58729.39898,-0.010467857,675,222
9,CUST9169,ACC25811,Savings,Transfer,Mutual Fund,Firm D,North,Manager 4,26-09-2023,16210.42058,57152.50097,0.845805129,739,133
86,CUST3153,ACC90887,Savings,Deposit,Personal Loan,Firm D,West,Manager 2,30-04-2023,-14799.65488,20517.30699,0.42886377,732,128
176,CUST5174,ACC29646,Savings,Payment,Personal Loan,Firm D,East,Manager 4,8/9/2023,21165.4217,87994.08304,0.449200799,461,26
3,CUST6210,ACC52131,Credit,Transfer,Home Loan,Firm D,East,Manager 1,23-03-2024,65632.21696,111070.3611,0.245716263,617,36
46,CUST2842,ACC55729,Loan,Transfer,Savings Account,Firm A,East,Manager 2,14-07-2023,79901.51035,33162.3022,0.87721913,586,106
159,CUST8660,ACC35419,Current,Payment,Home Loan,Firm B,South,Manager 4,21-12-2023,9185.129848,87686.42884,0.821384818,542,82
7,CUST2612,ACC18140,Savings,Payment,Home Loan,Firm E,East,Manager 1,16-04-2024,57987.89568,34655.25679,0.575228023,334,162
97,CUST1644,ACC91723,Savings,Payment,Savings Account,Firm B,Central,Manager 2,25-11-2023,78473.96505,63323.71981,0.311506414,636,209
27,CUST4884,ACC34568,Loan,Payment,Savings Account,Firm B,South,Manager 2,15-05-2023,54193.89633,55331.93567,1.086848459,429,31
144,CUST3041,ACC22799,Credit,Withdrawal,Credit Card,Firm A,North,Manager 2,11/5/2023,78408.43123,62264.97487,0.75919459,491,194
